recording,mps_folder,quality,pos_std_mm,yaw_std,valid
ccar_-90_2,mps_ccar_-90_2_vrs,0.997,0.31,0.073,True
ccar_-90_3,mps_ccar_-90_3_vrs,0.996,0.22,0.093,True
studio_fire0_1,mps_studio_fire0_1_vrs,0.998,0.52,0.102,True
studio_fire0_2,mps_studio_fire0_2_vrs,0.996,0.36,0.409,True
studio_fire0_3,mps_studio_fire0_3_vrs,0.996,0.63,0.286,True
studio_fire45_1,mps_studio_fire45_1_vrs,0.996,0.33,0.167,True
studio_fire45_2,mps_studio_fire45_2_vrs,0.995,0.39,0.306,True
studio_fire45_3,mps_studio_fire45_3_vrs,0.996,0.34,0.208,True
studio_fire-45_1,mps_studio_fire-45_1_vrs,0.997,0.5,0.121,True
studio_fire-45_2,mps_studio_fire-45_2_vrs,0.995,0.31,0.132,True
studio_fire-45_3,mps_studio_fire-45_3_vrs,0.995,0.24,0.114,True
studio_fire90_1,mps_studio_fire90_1_vrs,0.996,0.51,0.182,True
studio_fire90_2,mps_studio_fire90_2_vrs,0.996,0.25,0.092,True
studio_fire90_3,mps_studio_fire90_3_vrs,0.996,0.37,0.372,True
studio_fire-90_1,mps_studio_fire-90_1_vrs,0.996,0.76,0.351,True
studio_fire-90_3,mps_studio_fire-90_3_vrs,0.996,0.46,0.336,True
studio_phone0_1,mps_studio_phone0_1_vrs,0.997,0.54,0.273,True
studio_phone0_2,mps_studio_phone0_2_vrs,0.998,0.67,0.204,True
studio_phone0_3,mps_studio_phone0_3_vrs,0.991,0.3,0.222,True
studio_phone45_1,mps_studio_phone45_1_vrs,0.996,0.51,0.389,True
studio_phone45_2,mps_studio_phone45_2_vrs,0.994,0.36,0.115,True
studio_phone45_3,mps_studio_phone45_3_vrs,0.997,0.39,0.152,True
studio_phone-45_1,mps_studio_phone-45_1_vrs,0.996,0.85,0.507,True
studio_phone-45_2,mps_studio_phone-45_2_vrs,0.996,0.5,0.142,True
studio_phone-45_3,mps_studio_phone-45_3_vrs,0.996,0.42,0.162,True
studio_phone90_1,mps_studio_phone90_1_vrs,0.996,0.57,0.175,True
studio_phone90_2,mps_studio_phone90_2_vrs,0.997,0.4,0.177,True
studio_phone90_3,mps_studio_phone90_3_vrs,0.996,0.4,0.096,True
studio_phone-90_1,mps_studio_phone-90_1_vrs,0.996,0.4,0.112,True
studio_phone-90_2,mps_studio_phone-90_2_vrs,0.997,0.28,0.224,True
studio_phone-90_3,mps_studio_phone-90_3_vrs,0.995,0.4,0.189,True
